Date,Predicted_Demand,Lower_Bound,Upper_Bound
2011-11-03,27961.198352758987,17944.697694850493,38169.66499538608
2011-11-04,26420.725049097196,16840.05021096266,37197.981713494664
2011-11-05,6001.177710905327,-5789.172085709444,16265.715601033384
2011-11-06,24195.986236077486,14154.780078282023,34870.20217337528
2011-11-07,29552.10095601696,18930.54930610239,39899.319905454846
2011-11-08,33765.40736945594,22947.08479506531,43780.813264925266
2011-11-09,33907.90873918434,23468.80526272009,44560.04645209637
2011-11-10,36943.064172697355,26488.258674124398,47525.326933173616
2011-11-11,30534.021845973482,19642.7994235571,41319.6219541801
2011-11-12,5472.912330089754,-6332.575708429474,15800.245357960766
2011-11-13,20689.050770363567,10048.4652065576,31821.01384348305
2011-11-14,32953.89793849762,22101.50321048905,43747.41365608629
2011-11-15,34959.559248283906,24163.877959211626,47045.64079386843
2011-11-16,37572.40521813864,26587.32595487351,48317.21941910181
2011-11-17,38808.8218057708,28203.093440224995,49874.184314899496
2011-11-18,29319.314170946167,19059.707454814867,40382.29800018991
2011-11-19,4712.073091138425,-5486.653444504871,15413.411139795786
2011-11-20,20926.04233178773,10051.278236550252,32133.914909781153
2011-11-21,25695.544066952796,14979.031701591099,35527.384504644484
2011-11-22,31027.105317330865,20090.58353812907,42650.789412474514
2011-11-23,29578.17055194575,18737.623864914443,40244.132724774965
2011-11-24,28644.02074727766,17715.90107876544,38906.83752041212
2011-11-25,20759.920428236554,10167.505775256745,31213.507242556312
2011-11-26,929.7572230184486,-9642.916428745191,11972.671244707204
2011-11-27,13565.901978898515,3228.491777620384,23594.506870782185
2011-11-28,29665.70548795623,18242.96913998271,39727.695929228066
2011-11-29,30953.816592608327,19547.185611180765,42564.12562757137
2011-11-30,23259.086459117545,12699.71417103825,33952.91111248296
2011-12-01,23909.795416674933,13260.567521956345,34800.77898514819
2011-12-02,21454.78868205525,11347.983820762498,32931.93404017432
2011-12-03,-1410.5954838740374,-12252.396909360163,8979.451425977913
2011-12-04,13315.707675131212,2883.890366905381,23666.69925007653
2011-12-05,33020.05314514572,21577.715348301866,44231.402639717766
2011-12-06,29179.906735987046,18541.579507152903,40561.25375827947
2011-12-07,25934.300207455195,14685.297155147497,35550.91285158864
2011-12-08,32130.150567012526,21463.903275695513,42341.50330856627
2011-12-09,24501.718600314558,13421.260231825592,35197.17450927951
