Date,Total_Quantity,Invoice_Count,SKU_Count,Rolling_7_Day_Demand,Rolling_30_Day_Demand,Year,Month,Week_Of_Year,Day_Of_Week,Is_Weekend
2010-01-25,10038.0,57.0,905.0,19301.14285714286,10590.9,2010,1,4,0,False
2010-01-26,22968.0,93.0,814.0,20400.285714285714,11356.5,2010,1,4,1,False
2010-01-27,17837.0,56.0,870.0,21594.571428571428,11951.066666666668,2010,1,4,2,False
2010-01-28,11243.0,56.0,717.0,12786.42857142857,12325.833333333334,2010,1,4,3,False
2010-01-29,10162.0,49.0,689.0,11584.857142857143,12664.566666666668,2010,1,4,4,False
2010-01-30,0.0,0.0,0.0,11584.857142857143,12664.566666666668,2010,1,4,5,True
2010-01-31,10735.0,53.0,793.0,11854.714285714286,13022.4,2010,1,4,6,True
2010-02-01,9251.0,66.0,833.0,11742.285714285714,13330.766666666666,2010,2,5,0,False
2010-02-02,11094.0,46.0,734.0,10046.0,13700.566666666668,2010,2,5,1,False
2010-02-03,10285.0,49.0,856.0,8967.142857142857,13688.533333333333,2010,2,5,2,False
2010-02-04,12798.0,64.0,819.0,9189.285714285714,13738.6,2010,2,5,3,False
2010-02-05,10342.0,40.0,612.0,9215.0,13834.7,2010,2,5,4,False
2010-02-06,0.0,0.0,0.0,9215.0,12480.9,2010,2,5,5,True
2010-02-07,11186.0,30.0,543.0,9279.42857142857,12430.6,2010,2,5,6,True
2010-02-08,8616.0,60.0,784.0,9188.714285714286,12717.8,2010,2,6,0,False
2010-02-09,10891.0,54.0,667.0,9159.714285714286,12634.733333333334,2010,2,6,1,False
2010-02-10,3761.0,31.0,615.0,8227.714285714286,12294.1,2010,2,6,2,False
2010-02-11,9035.0,56.0,511.0,7690.142857142857,11886.466666666667,2010,2,6,3,False
2010-02-12,7652.0,32.0,571.0,7305.857142857143,11847.033333333333,2010,2,6,4,False
2010-02-13,0.0,0.0,0.0,7305.857142857143,11387.566666666668,2010,2,6,5,True
2010-02-14,10895.0,46.0,706.0,7264.285714285715,11470.1,2010,2,6,6,True
2010-02-15,96425.0,45.0,567.0,19808.428571428572,14684.266666666666,2010,2,7,0,False
2010-02-16,16711.0,61.0,1051.0,20639.85714285714,14910.933333333332,2010,2,7,1,False
2010-02-17,25014.0,49.0,648.0,23676.0,15400.3,2010,2,7,2,False
2010-02-18,19853.0,63.0,773.0,25221.428571428572,15552.933333333332,2010,2,7,3,False
2010-02-19,12611.0,58.0,921.0,25929.85714285714,15657.4,2010,2,7,4,False
2010-02-20,0.0,0.0,0.0,25929.85714285714,13227.4,2010,2,7,5,True
2010-02-21,5555.0,37.0,584.0,25167.0,12793.466666666667,2010,2,7,6,True
2010-02-22,13427.0,48.0,666.0,13310.142857142857,13241.033333333333,2010,2,8,0,False
2010-02-23,11873.0,47.0,733.0,12619.0,13341.933333333332,2010,2,8,1,False
2010-02-24,22454.0,63.0,782.0,12253.285714285714,13755.8,2010,2,8,2,False
2010-02-25,26312.0,67.0,856.0,13176.0,13867.266666666666,2010,2,8,3,False
2010-02-26,7419.0,36.0,684.0,12434.285714285714,13520.0,2010,2,8,4,False
2010-02-27,0.0,0.0,0.0,12434.285714285714,13145.233333333334,2010,2,8,5,True
2010-02-28,8419.0,53.0,736.0,12843.42857142857,13087.133333333333,2010,2,8,6,True
2010-03-01,21448.0,58.0,777.0,13989.285714285714,13802.066666666668,2010,3,9,0,False
2010-03-02,11897.0,55.0,929.0,13992.714285714286,13840.8,2010,3,9,1,False
2010-03-03,20381.0,63.0,1014.0,13696.57142857143,14211.8,2010,3,9,2,False
2010-03-04,18546.0,74.0,989.0,12587.142857142857,14460.2,2010,3,9,3,False
2010-03-05,18260.0,81.0,771.0,14135.857142857143,14726.033333333333,2010,3,9,4,False
2010-03-06,0.0,0.0,0.0,14135.857142857143,14299.433333333332,2010,3,9,5,True
2010-03-07,10927.0,58.0,1076.0,14494.142857142857,14318.933333333332,2010,3,9,6,True
2010-03-08,15620.0,76.0,1042.0,13661.57142857143,14839.6,2010,3,10,0,False
2010-03-09,12353.0,57.0,736.0,13726.714285714286,14878.5,2010,3,10,1,False
2010-03-10,18013.0,61.0,924.0,13388.42857142857,15191.733333333334,2010,3,10,2,False
2010-03-11,14179.0,48.0,839.0,12764.57142857143,15301.333333333334,2010,3,10,3,False
2010-03-12,11029.0,36.0,646.0,11731.57142857143,15543.6,2010,3,10,4,False
2010-03-13,0.0,0.0,0.0,11731.57142857143,15242.433333333332,2010,3,10,5,True
2010-03-14,4927.0,24.0,447.0,10874.42857142857,15151.6,2010,3,10,6,True
2010-03-15,15166.0,57.0,958.0,10809.57142857143,15657.133333333333,2010,3,11,0,False
2010-03-16,12845.0,45.0,780.0,10879.857142857143,15722.133333333333,2010,3,11,1,False
2010-03-17,78859.0,48.0,768.0,19572.14285714286,15136.6,2010,3,11,2,False
2010-03-18,23659.0,86.0,840.0,20926.428571428572,15368.2,2010,3,11,3,False
2010-03-19,13368.0,62.0,746.0,21260.571428571428,14980.0,2010,3,11,4,False
2010-03-20,0.0,0.0,0.0,21260.571428571428,14318.233333333334,2010,3,11,5,True
2010-03-21,12281.0,56.0,795.0,22311.14285714286,14307.233333333334,2010,3,11,6,True
2010-03-22,12821.0,56.0,859.0,21976.14285714286,14734.6,2010,3,12,0,False
2010-03-23,54452.0,71.0,745.0,27920.0,16364.5,2010,3,12,1,False
2010-03-24,14409.0,73.0,843.0,18712.85714285714,16397.233333333334,2010,3,12,2,False
2010-03-25,17094.0,85.0,939.0,17775.0,16571.266666666666,2010,3,12,3,False
2010-03-26,20924.0,62.0,876.0,18854.428571428572,16520.266666666666,2010,3,12,4,False
2010-03-27,0.0,0.0,0.0,18854.428571428572,15643.2,2010,3,12,5,True
2010-03-28,14517.0,59.0,902.0,19173.85714285714,15879.8,2010,3,12,6,True
2010-03-29,25151.0,85.0,1024.0,20935.285714285714,16718.166666666668,2010,3,13,0,False
2010-03-30,19258.0,70.0,987.0,15907.57142857143,17079.466666666667,2010,3,13,1,False
2010-03-31,13642.0,75.0,946.0,15798.0,16819.266666666666,2010,3,13,2,False
2010-04-01,17291.0,79.0,903.0,15826.142857142857,16999.066666666666,2010,4,13,3,False
2010-04-02,0.0,0.0,0.0,12837.0,16319.7,2010,4,13,4,False
2010-04-03,0.0,0.0,0.0,12837.0,15701.5,2010,4,13,5,True
2010-04-04,0.0,0.0,0.0,10763.142857142857,15092.833333333334,2010,4,13,6,True
2010-04-05,0.0,0.0,0.0,7170.142857142857,15092.833333333334,2010,4,14,0,False
2010-04-06,13022.0,55.0,689.0,6279.285714285715,15162.666666666666,2010,4,14,1,False
2010-04-07,23528.0,61.0,822.0,7691.571428571428,15426.266666666666,2010,4,14,2,False
2010-04-08,26803.0,86.0,1015.0,9050.42857142857,15907.933333333332,2010,4,14,3,False
2010-04-09,9120.0,51.0,595.0,10353.285714285714,15611.5,2010,4,14,4,False
2010-04-10,0.0,0.0,0.0,10353.285714285714,15138.866666666667,2010,4,14,5,True
2010-04-11,11585.0,42.0,662.0,12008.285714285714,15157.4,2010,4,14,6,True
2010-04-12,12839.0,46.0,587.0,13842.42857142857,15585.366666666667,2010,4,15,0,False
2010-04-13,14446.0,52.0,728.0,14045.857142857143,15902.666666666666,2010,4,15,1,False
2010-04-14,16329.0,45.0,616.0,13017.42857142857,15941.433333333332,2010,4,15,2,False
2010-04-15,10769.0,74.0,653.0,10726.857142857143,15872.233333333334,2010,4,15,3,False
2010-04-16,14865.0,42.0,582.0,11547.57142857143,13739.1,2010,4,15,4,False
2010-04-17,0.0,0.0,0.0,11547.57142857143,12950.466666666667,2010,4,15,5,True
2010-04-18,12961.0,54.0,751.0,11744.142857142857,12936.9,2010,4,15,6,True
2010-04-19,19363.0,74.0,1247.0,12676.142857142857,13582.333333333334,2010,4,16,0,False
2010-04-20,13464.0,68.0,827.0,12535.857142857143,13621.766666666666,2010,4,16,1,False
2010-04-21,13264.0,66.0,727.0,12098.0,13636.533333333333,2010,4,16,2,False
2010-04-22,21576.0,79.0,755.0,13641.857142857143,12540.666666666666,2010,4,16,3,False
2010-04-23,10212.0,57.0,660.0,12977.142857142857,12400.766666666666,2010,4,16,4,False
2010-04-24,0.0,0.0,0.0,12977.142857142857,11830.966666666667,2010,4,16,5,True
2010-04-25,8380.0,46.0,729.0,12322.714285714286,11412.833333333334,2010,4,16,6,True
2010-04-26,19555.0,99.0,915.0,12350.142857142857,12064.666666666666,2010,4,17,0,False
2010-04-27,23403.0,79.0,832.0,13770.0,12360.866666666667,2010,4,17,1,False
2010-04-28,19380.0,73.0,901.0,14643.714285714286,12168.5,2010,4,17,2,False
2010-04-29,17039.0,84.0,1033.0,13995.57142857143,12094.533333333333,2010,4,17,3,False
2010-04-30,17511.0,50.0,726.0,15038.285714285714,12223.5,2010,4,17,4,False
2010-05-01,0.0,0.0,0.0,15038.285714285714,11647.133333333333,2010,5,17,5,True
2010-05-02,6296.0,40.0,530.0,14740.57142857143,11857.0,2010,5,17,6,True
2010-05-03,0.0,0.0,0.0,11947.0,11857.0,2010,5,18,0,False
2010-05-04,11192.0,52.0,806.0,10202.57142857143,12230.066666666668,2010,5,18,1,False
2010-05-05,15625.0,82.0,803.0,9666.142857142857,12750.9,2010,5,18,2,False
2010-05-06,31089.0,84.0,945.0,11673.285714285714,13353.133333333333,2010,5,18,3,False
2010-05-07,23171.0,66.0,797.0,12481.857142857143,13341.233333333334,2010,5,18,4,False
2010-05-08,0.0,0.0,0.0,12481.857142857143,12447.8,2010,5,18,5,True
2010-05-09,11825.0,62.0,895.0,13271.714285714286,12537.966666666667,2010,5,18,6,True
2010-05-10,15713.0,77.0,906.0,15516.42857142857,13061.733333333334,2010,5,19,0,False
2010-05-11,18150.0,65.0,909.0,16510.428571428572,13280.566666666668,2010,5,19,1,False
2010-05-12,21669.0,65.0,739.0,17373.85714285714,13574.9,2010,5,19,2,False
2010-05-13,26817.0,66.0,767.0,16763.571428571428,13987.266666666666,2010,5,19,3,False
2010-05-14,14348.0,49.0,553.0,15503.142857142857,13921.233333333334,2010,5,19,4,False
2010-05-15,0.0,0.0,0.0,15503.142857142857,13562.266666666666,2010,5,19,5,True
2010-05-16,11028.0,44.0,829.0,15389.285714285714,13434.366666666667,2010,5,19,6,True
2010-05-17,13811.0,49.0,771.0,15117.57142857143,13894.733333333334,2010,5,20,0,False
2010-05-18,22477.0,64.0,818.0,15735.714285714286,14211.933333333332,2010,5,20,1,False
2010-05-19,9644.0,61.0,705.0,14017.857142857143,13887.966666666667,2010,5,20,2,False
2010-05-20,15590.0,67.0,844.0,12414.0,13958.833333333334,2010,5,20,3,False
2010-05-21,10076.0,52.0,797.0,11803.714285714286,13852.566666666668,2010,5,20,4,False
2010-05-22,0.0,0.0,0.0,11803.714285714286,13133.366666666667,2010,5,20,5,True
2010-05-23,13889.0,49.0,677.0,12212.42857142857,13255.933333333332,2010,5,20,6,True
2010-05-24,32771.0,71.0,748.0,14921.0,14348.3,2010,5,21,0,False
2010-05-25,15014.0,61.0,760.0,13854.857142857143,14569.433333333332,2010,5,21,1,False
2010-05-26,18921.0,96.0,897.0,15180.142857142857,14548.3,2010,5,21,2,False
2010-05-27,17905.0,88.0,930.0,15510.857142857143,14365.033333333333,2010,5,21,3,False
2010-05-28,12627.0,58.0,715.0,15875.285714285714,14139.933333333332,2010,5,21,4,False
2010-05-29,0.0,0.0,0.0,15875.285714285714,13571.966666666667,2010,5,21,5,True
2010-05-30,6220.0,32.0,560.0,14779.714285714286,13195.6,2010,5,21,6,True
2010-05-31,0.0,0.0,0.0,10098.142857142857,13195.6,2010,5,22,0,False
2010-06-01,8287.0,47.0,757.0,9137.142857142857,13261.966666666667,2010,6,22,1,False
2010-06-02,11808.0,46.0,667.0,8121.0,13655.566666666668,2010,6,22,2,False
2010-06-03,17585.0,67.0,913.0,8075.285714285715,13868.666666666666,2010,6,22,3,False
2010-06-04,8167.0,51.0,812.0,7438.142857142857,13620.066666666668,2010,6,22,4,False
2010-06-05,0.0,0.0,0.0,7438.142857142857,12583.766666666666,2010,6,22,5,True
2010-06-06,14079.0,68.0,965.0,8560.857142857143,12280.7,2010,6,22,6,True
2010-06-07,29457.0,103.0,1163.0,12769.0,13262.6,2010,6,23,0,False
2010-06-08,25848.0,81.0,1047.0,15277.714285714286,13730.033333333333,2010,6,23,1,False
2010-06-09,25410.0,68.0,765.0,17220.85714285714,14053.266666666666,2010,6,23,2,False
2010-06-10,9683.0,66.0,589.0,16092.0,13771.033333333333,2010,6,23,3,False
2010-06-11,21405.0,86.0,925.0,17983.14285714286,13762.233333333334,2010,6,23,4,False
2010-06-12,0.0,0.0,0.0,17983.14285714286,12868.333333333334,2010,6,23,5,True
2010-06-13,11120.0,70.0,834.0,17560.428571428572,12760.733333333334,2010,6,23,6,True
2010-06-14,16206.0,57.0,928.0,15667.42857142857,13300.933333333332,2010,6,24,0,False
2010-06-15,19496.0,52.0,863.0,14760.0,13583.2,2010,6,24,1,False
2010-06-16,18986.0,81.0,954.0,13842.285714285714,13755.7,2010,6,24,2,False
2010-06-17,13238.0,78.0,850.0,14350.142857142857,13447.733333333334,2010,6,24,3,False
2010-06-18,9608.0,50.0,599.0,12664.857142857143,13446.533333333333,2010,6,24,4,False
2010-06-19,0.0,0.0,0.0,12664.857142857143,12926.866666666667,2010,6,24,5,True
2010-06-20,4487.0,26.0,333.0,11717.285714285714,12740.566666666668,2010,6,24,6,True
2010-06-21,12061.0,44.0,1000.0,11125.142857142857,13142.6,2010,6,25,0,False
2010-06-22,6978.0,43.0,667.0,9336.857142857143,12912.233333333334,2010,6,25,1,False
2010-06-23,16258.0,68.0,763.0,8947.142857142857,12361.8,2010,6,25,2,False
2010-06-24,11306.0,73.0,737.0,8671.142857142857,12238.2,2010,6,25,3,False
2010-06-25,7997.0,45.0,787.0,8441.0,11874.066666666668,2010,6,25,4,False
2010-06-26,0.0,0.0,0.0,8441.0,11277.233333333334,2010,6,25,5,True
2010-06-27,10851.0,55.0,748.0,9350.142857142857,11218.033333333333,2010,6,25,6,True
2010-06-28,34536.0,70.0,920.0,12560.857142857143,12369.233333333334,2010,6,26,0,False
2010-06-29,20923.0,71.0,853.0,14553.0,12859.333333333334,2010,6,26,1,False
2010-06-30,21040.0,79.0,922.0,15236.142857142857,13560.666666666666,2010,6,26,2,False
2010-07-01,16493.0,85.0,895.0,15977.142857142857,13834.2,2010,7,26,3,False
2010-07-02,8709.0,47.0,635.0,16078.857142857143,13730.9,2010,7,26,4,False
2010-07-03,0.0,0.0,0.0,16078.857142857143,13144.733333333334,2010,7,26,5,True
2010-07-04,5302.0,21.0,463.0,15286.142857142857,13049.233333333334,2010,7,26,6,True
2010-07-05,16630.0,85.0,795.0,12728.142857142857,13603.566666666668,2010,7,27,0,False
2010-07-06,11962.0,58.0,681.0,11448.0,13533.0,2010,7,27,1,False
2010-07-07,14692.0,77.0,910.0,10541.142857142857,13040.833333333334,2010,7,27,2,False
2010-07-08,11756.0,70.0,773.0,9864.42857142857,12571.1,2010,7,27,3,False
2010-07-09,14072.0,30.0,599.0,10630.57142857143,12193.166666666666,2010,7,27,4,False
2010-07-10,0.0,0.0,0.0,10630.57142857143,11870.4,2010,7,27,5,True
2010-07-11,5806.0,28.0,497.0,10702.57142857143,11350.433333333332,2010,7,27,6,True
2010-07-12,9721.0,50.0,734.0,9715.57142857143,11674.466666666667,2010,7,28,0,False
2010-07-13,10045.0,55.0,744.0,9441.714285714286,11638.633333333333,2010,7,28,1,False
2010-07-14,13384.0,62.0,819.0,9254.857142857143,11544.566666666668,2010,7,28,2,False
2010-07-15,27819.0,80.0,840.0,11549.57142857143,11822.0,2010,7,28,3,False
2010-07-16,14312.0,68.0,726.0,11583.857142857143,11666.2,2010,7,28,4,False
2010-07-17,0.0,0.0,0.0,11583.857142857143,11224.933333333332,2010,7,28,5,True
2010-07-18,9646.0,40.0,589.0,12132.42857142857,11226.2,2010,7,28,6,True
2010-07-19,18535.0,59.0,782.0,13391.57142857143,11844.033333333333,2010,7,29,0,False
2010-07-20,12099.0,57.0,663.0,13685.0,12097.766666666666,2010,7,29,1,False
2010-07-21,13174.0,55.0,734.0,13655.0,12134.866666666667,2010,7,29,2,False
2010-07-22,13939.0,78.0,806.0,11672.142857142857,12366.9,2010,7,29,3,False
2010-07-23,13371.0,48.0,665.0,11537.714285714286,12270.666666666666,2010,7,29,4,False
2010-07-24,0.0,0.0,0.0,11537.714285714286,11893.8,2010,7,29,5,True
2010-07-25,11531.0,54.0,741.0,11807.0,12011.6,2010,7,29,6,True
2010-07-26,15011.0,62.0,822.0,11303.57142857143,12511.966666666667,2010,7,30,0,False
2010-07-27,14315.0,70.0,663.0,11620.142857142857,12627.433333333332,2010,7,30,1,False
2010-07-28,13365.0,65.0,724.0,11647.42857142857,11921.733333333334,2010,7,30,2,False
2010-07-29,13763.0,72.0,895.0,11622.285714285714,11683.066666666668,2010,7,30,3,False
2010-07-30,8443.0,53.0,508.0,10918.285714285714,11263.166666666666,2010,7,30,4,False
2010-07-31,0.0,0.0,0.0,10918.285714285714,10713.4,2010,7,30,5,True
2010-08-01,9702.0,32.0,583.0,10657.0,10746.5,2010,8,30,6,True
2010-08-02,11871.0,63.0,691.0,10208.42857142857,11142.2,2010,8,31,0,False
2010-08-03,16330.0,59.0,857.0,10496.285714285714,11509.8,2010,8,31,1,False
2010-08-04,11740.0,53.0,850.0,10264.142857142857,11346.8,2010,8,31,2,False
2010-08-05,16828.0,54.0,744.0,10702.0,11509.0,2010,8,31,3,False
2010-08-06,9923.0,45.0,409.0,10913.42857142857,11350.033333333333,2010,8,31,4,False
2010-08-07,0.0,0.0,0.0,10913.42857142857,10958.166666666666,2010,8,31,5,True
2010-08-08,8120.0,44.0,562.0,10687.42857142857,10759.766666666666,2010,8,31,6,True
2010-08-09,100224.0,51.0,621.0,23309.285714285714,14100.566666666668,2010,8,32,0,False
2010-08-10,20053.0,46.0,937.0,23841.14285714286,14575.466666666667,2010,8,32,1,False
2010-08-11,8197.0,46.0,642.0,23335.0,14524.666666666666,2010,8,32,2,False
2010-08-12,18216.0,81.0,897.0,23533.285714285714,14797.033333333333,2010,8,32,3,False
2010-08-13,18159.0,55.0,765.0,24709.85714285714,14956.2,2010,8,32,4,False
2010-08-14,0.0,0.0,0.0,24709.85714285714,14028.9,2010,8,32,5,True
2010-08-15,17333.0,58.0,615.0,26026.0,14129.6,2010,8,32,6,True
2010-08-16,11080.0,39.0,677.0,13291.142857142857,14498.933333333332,2010,8,33,0,False
2010-08-17,18400.0,45.0,613.0,13055.0,14790.733333333334,2010,8,33,1,False
2010-08-18,22851.0,58.0,957.0,15148.42857142857,14934.6,2010,8,33,2,False
2010-08-19,22520.0,77.0,801.0,15763.285714285714,15281.966666666667,2010,8,33,3,False
2010-08-20,19177.0,59.0,799.0,15908.714285714286,15482.066666666668,2010,8,33,4,False
2010-08-21,0.0,0.0,0.0,15908.714285714286,15017.433333333332,2010,8,33,5,True
2010-08-22,13884.0,60.0,769.0,15416.0,15034.533333333333,2010,8,33,6,True
2010-08-23,13251.0,45.0,713.0,15726.142857142857,15476.233333333334,2010,8,34,0,False
2010-08-24,19081.0,61.0,697.0,15823.42857142857,15727.9,2010,8,34,1,False
2010-08-25,17575.0,76.0,857.0,15069.714285714286,15813.366666666667,2010,8,34,2,False
2010-08-26,17607.0,80.0,842.0,14367.857142857143,15923.1,2010,8,34,3,False
2010-08-27,7316.0,36.0,675.0,12673.42857142857,15721.466666666667,2010,8,34,4,False
2010-08-28,0.0,0.0,0.0,12673.42857142857,15262.7,2010,8,34,5,True
2010-08-29,8766.0,39.0,483.0,11942.285714285714,15273.466666666667,2010,8,34,6,True
2010-08-30,0.0,0.0,0.0,10049.285714285714,15273.466666666667,2010,8,35,0,False
2010-08-31,14176.0,63.0,936.0,9348.57142857143,15422.6,2010,8,35,1,False
2010-09-01,12910.0,43.0,646.0,8682.142857142857,15457.233333333334,2010,9,35,2,False
2010-09-02,21964.0,91.0,848.0,9304.57142857143,15645.033333333333,2010,9,35,3,False
2010-09-03,31223.0,60.0,655.0,12719.857142857143,16294.466666666667,2010,9,35,4,False
2010-09-04,0.0,0.0,0.0,12719.857142857143,15733.533333333333,2010,9,35,5,True
2010-09-05,7222.0,35.0,514.0,12499.285714285714,15643.5,2010,9,35,6,True
2010-09-06,16208.0,53.0,861.0,14814.714285714286,16183.766666666666,2010,9,36,0,False
2010-09-07,15746.0,51.0,718.0,15039.0,16437.966666666667,2010,9,36,1,False
2010-09-08,10208.0,49.0,691.0,14653.0,13437.433333333332,2010,9,36,2,False
2010-09-09,13200.0,67.0,865.0,13401.0,13209.0,2010,9,36,3,False
2010-09-10,10430.0,46.0,629.0,10430.57142857143,13283.433333333332,2010,9,36,4,False
2010-09-11,0.0,0.0,0.0,10430.57142857143,12676.233333333334,2010,9,36,5,True
2010-09-12,9278.0,48.0,729.0,10724.285714285714,12380.2,2010,9,36,6,True
2010-09-13,28405.0,87.0,992.0,12466.714285714286,13327.033333333333,2010,9,37,0,False
2010-09-14,11384.0,63.0,764.0,11843.57142857143,13128.733333333334,2010,9,37,1,False
2010-09-15,21473.0,67.0,811.0,13452.857142857143,13475.166666666666,2010,9,37,2,False
2010-09-16,14418.0,68.0,897.0,13626.857142857143,13342.433333333332,2010,9,37,3,False
2010-09-17,11843.0,52.0,726.0,13828.714285714286,12975.5,2010,9,37,4,False
2010-09-18,0.0,0.0,0.0,13828.714285714286,12224.833333333334,2010,9,37,5,True
2010-09-19,13697.0,59.0,984.0,14460.0,12042.166666666666,2010,9,37,6,True
2010-09-20,25067.0,82.0,967.0,13983.142857142857,12877.733333333334,2010,9,38,0,False
2010-09-21,37072.0,103.0,1020.0,17652.85714285714,13650.666666666666,2010,9,38,1,False
2010-09-22,14626.0,83.0,689.0,16674.714285714286,13696.5,2010,9,38,2,False
2010-09-23,21377.0,86.0,935.0,17668.85714285714,13773.033333333333,2010,9,38,3,False
2010-09-24,28035.0,67.0,810.0,19982.0,14121.7,2010,9,38,4,False
2010-09-25,0.0,0.0,0.0,19982.0,13534.8,2010,9,38,5,True
2010-09-26,13385.0,65.0,747.0,19937.428571428572,13737.1,2010,9,38,6,True
2010-09-27,125489.0,95.0,1012.0,34283.42857142857,17920.066666666666,2010,9,39,0,False
2010-09-28,23634.0,127.0,1199.0,32363.714285714286,18415.666666666668,2010,9,39,1,False
2010-09-29,20736.0,99.0,967.0,33236.57142857143,19106.866666666665,2010,9,39,2,False
2010-09-30,24834.0,93.0,978.0,33730.42857142857,19462.133333333335,2010,9,39,3,False
2010-10-01,22213.0,71.0,919.0,32898.71428571428,19772.233333333334,2010,10,39,4,False
