Date,Total_Quantity,Invoice_Count,SKU_Count,Rolling_7_Day_Demand,Rolling_30_Day_Demand,Year,Month,Week_Of_Year,Day_Of_Week,Is_Weekend,Total_Quantity_raw
14-01-2010,13784,58,1038,11991.57143,8191.133333,2010,1,2,3,FALSE,13784
15-01-2010,8419,46,430,11380.71429,7642.066667,2010,1,2,4,FALSE,8419
16-01-2010,0,0,0,11380.71429,7128.3,2010,1,2,5,TRUE,0
17-01-2010,9911,40,683,10884.71429,6878.6,2010,1,2,6,TRUE,9911
18-01-2010,10333,40,1002,10363.71429,7223.033333,2010,1,3,0,FALSE,10333
19-01-2010,15274,47,1065,9508,7524,2010,1,3,1,FALSE,15274
20-01-2010,9477,37,761,9599.714286,7547.533333,2010,1,3,2,FALSE,9477
21-01-2010,57628.5,48,732,18044.85714,9494.933333,2010,1,3,3,FALSE,72900
22-01-2010,18573,45,862,19495.42857,9961.433333,2010,1,3,4,FALSE,18573
23-01-2010,0,0,0,19495.42857,9961.433333,2010,1,3,5,TRUE,0
24-01-2010,8846,50,705,19343.28571,10256.3,2010,1,3,6,TRUE,8846
25-01-2010,10038,57,905,19301.14286,10590.9,2010,1,4,0,FALSE,10038
26-01-2010,22968,93,814,20400.28571,11356.5,2010,1,4,1,FALSE,22968
27-01-2010,17837,56,870,21594.57143,11951.06667,2010,1,4,2,FALSE,17837
28-01-2010,11243,56,717,12786.42857,12325.83333,2010,1,4,3,FALSE,11243
29-01-2010,10162,49,689,11584.85714,12664.56667,2010,1,4,4,FALSE,10162
30-01-2010,0,0,0,11584.85714,12664.56667,2010,1,4,5,TRUE,0
31-01-2010,10735,53,793,11854.71429,13022.4,2010,1,4,6,TRUE,10735
01-02-2010,9251,66,833,11742.28571,13330.76667,2010,2,5,0,FALSE,9251
02-02-2010,11094,46,734,10046,13700.56667,2010,2,5,1,FALSE,11094
03-02-2010,10285,49,856,8967.142857,13688.53333,2010,2,5,2,FALSE,10285
04-02-2010,12798,64,819,9189.285714,13738.6,2010,2,5,3,FALSE,12798
05-02-2010,10342,40,612,9215,13834.7,2010,2,5,4,FALSE,10342
06-02-2010,0,0,0,9215,12480.9,2010,2,5,5,TRUE,0
07-02-2010,11186,30,543,9279.428571,12430.6,2010,2,5,6,TRUE,11186
08-02-2010,8616,60,784,9188.714286,12717.8,2010,2,6,0,FALSE,8616
09-02-2010,10891,54,667,9159.714286,12634.73333,2010,2,6,1,FALSE,10891
10-02-2010,3761,31,615,8227.714286,12294.1,2010,2,6,2,FALSE,3761
11-02-2010,9035,56,511,7690.142857,11886.46667,2010,2,6,3,FALSE,9035
12-02-2010,7652,32,571,7305.857143,11847.03333,2010,2,6,4,FALSE,7652
13-02-2010,0,0,0,7305.857143,11387.56667,2010,2,6,5,TRUE,0
14-02-2010,10895,46,706,7264.285714,11470.1,2010,2,6,6,TRUE,10895
15-02-2010,57628.5,45,567,19808.42857,14684.26667,2010,2,7,0,FALSE,96425
16-02-2010,16711,61,1051,20639.85714,14910.93333,2010,2,7,1,FALSE,16711
17-02-2010,25014,49,648,23676,15400.3,2010,2,7,2,FALSE,25014
18-02-2010,19853,63,773,25221.42857,15552.93333,2010,2,7,3,FALSE,19853
19-02-2010,12611,58,921,25929.85714,15657.4,2010,2,7,4,FALSE,12611
20-02-2010,0,0,0,25929.85714,13227.4,2010,2,7,5,TRUE,0
21-02-2010,5555,37,584,25167,12793.46667,2010,2,7,6,TRUE,5555
22-02-2010,13427,48,666,13310.14286,13241.03333,2010,2,8,0,FALSE,13427
23-02-2010,11873,47,733,12619,13341.93333,2010,2,8,1,FALSE,11873
24-02-2010,22454,63,782,12253.28571,13755.8,2010,2,8,2,FALSE,22454
25-02-2010,26312,67,856,13176,13867.26667,2010,2,8,3,FALSE,26312
26-02-2010,7419,36,684,12434.28571,13520,2010,2,8,4,FALSE,7419
27-02-2010,0,0,0,12434.28571,13145.23333,2010,2,8,5,TRUE,0
28-02-2010,8419,53,736,12843.42857,13087.13333,2010,2,8,6,TRUE,8419
01-03-2010,21448,58,777,13989.28571,13802.06667,2010,3,9,0,FALSE,21448
02-03-2010,11897,55,929,13992.71429,13840.8,2010,3,9,1,FALSE,11897
03-03-2010,20381,63,1014,13696.57143,14211.8,2010,3,9,2,FALSE,20381
04-03-2010,18546,74,989,12587.14286,14460.2,2010,3,9,3,FALSE,18546
05-03-2010,18260,81,771,14135.85714,14726.03333,2010,3,9,4,FALSE,18260
06-03-2010,0,0,0,14135.85714,14299.43333,2010,3,9,5,TRUE,0
07-03-2010,10927,58,1076,14494.14286,14318.93333,2010,3,9,6,TRUE,10927
08-03-2010,15620,76,1042,13661.57143,14839.6,2010,3,10,0,FALSE,15620
09-03-2010,12353,57,736,13726.71429,14878.5,2010,3,10,1,FALSE,12353
10-03-2010,18013,61,924,13388.42857,15191.73333,2010,3,10,2,FALSE,18013
11-03-2010,14179,48,839,12764.57143,15301.33333,2010,3,10,3,FALSE,14179
12-03-2010,11029,36,646,11731.57143,15543.6,2010,3,10,4,FALSE,11029
13-03-2010,0,0,0,11731.57143,15242.43333,2010,3,10,5,TRUE,0
14-03-2010,4927,24,447,10874.42857,15151.6,2010,3,10,6,TRUE,4927
15-03-2010,15166,57,958,10809.57143,15657.13333,2010,3,11,0,FALSE,15166
16-03-2010,12845,45,780,10879.85714,15722.13333,2010,3,11,1,FALSE,12845
17-03-2010,57628.5,48,768,19572.14286,15136.6,2010,3,11,2,FALSE,78859
18-03-2010,23659,86,840,20926.42857,15368.2,2010,3,11,3,FALSE,23659
19-03-2010,13368,62,746,21260.57143,14980,2010,3,11,4,FALSE,13368
20-03-2010,0,0,0,21260.57143,14318.23333,2010,3,11,5,TRUE,0
21-03-2010,12281,56,795,22311.14286,14307.23333,2010,3,11,6,TRUE,12281
22-03-2010,12821,56,859,21976.14286,14734.6,2010,3,12,0,FALSE,12821
23-03-2010,54452,71,745,27920,16364.5,2010,3,12,1,FALSE,54452
24-03-2010,14409,73,843,18712.85714,16397.23333,2010,3,12,2,FALSE,14409
25-03-2010,17094,85,939,17775,16571.26667,2010,3,12,3,FALSE,17094
26-03-2010,20924,62,876,18854.42857,16520.26667,2010,3,12,4,FALSE,20924
27-03-2010,0,0,0,18854.42857,15643.2,2010,3,12,5,TRUE,0
28-03-2010,14517,59,902,19173.85714,15879.8,2010,3,12,6,TRUE,14517
29-03-2010,25151,85,1024,20935.28571,16718.16667,2010,3,13,0,FALSE,25151
30-03-2010,19258,70,987,15907.57143,17079.46667,2010,3,13,1,FALSE,19258
31-03-2010,13642,75,946,15798,16819.26667,2010,3,13,2,FALSE,13642
01-04-2010,17291,79,903,15826.14286,16999.06667,2010,4,13,3,FALSE,17291
02-04-2010,0,0,0,12837,16319.7,2010,4,13,4,FALSE,0
03-04-2010,0,0,0,12837,15701.5,2010,4,13,5,TRUE,0
04-04-2010,0,0,0,10763.14286,15092.83333,2010,4,13,6,TRUE,0
05-04-2010,0,0,0,7170.142857,15092.83333,2010,4,14,0,FALSE,0
06-04-2010,13022,55,689,6279.285714,15162.66667,2010,4,14,1,FALSE,13022
07-04-2010,23528,61,822,7691.571429,15426.26667,2010,4,14,2,FALSE,23528
08-04-2010,26803,86,1015,9050.428571,15907.93333,2010,4,14,3,FALSE,26803
09-04-2010,9120,51,595,10353.28571,15611.5,2010,4,14,4,FALSE,9120
10-04-2010,0,0,0,10353.28571,15138.86667,2010,4,14,5,TRUE,0
11-04-2010,11585,42,662,12008.28571,15157.4,2010,4,14,6,TRUE,11585
12-04-2010,12839,46,587,13842.42857,15585.36667,2010,4,15,0,FALSE,12839
13-04-2010,14446,52,728,14045.85714,15902.66667,2010,4,15,1,FALSE,14446
14-04-2010,16329,45,616,13017.42857,15941.43333,2010,4,15,2,FALSE,16329
15-04-2010,10769,74,653,10726.85714,15872.23333,2010,4,15,3,FALSE,10769
16-04-2010,14865,42,582,11547.57143,13739.1,2010,4,15,4,FALSE,14865
17-04-2010,0,0,0,11547.57143,12950.46667,2010,4,15,5,TRUE,0
18-04-2010,12961,54,751,11744.14286,12936.9,2010,4,15,6,TRUE,12961
19-04-2010,19363,74,1247,12676.14286,13582.33333,2010,4,16,0,FALSE,19363
20-04-2010,13464,68,827,12535.85714,13621.76667,2010,4,16,1,FALSE,13464
21-04-2010,13264,66,727,12098,13636.53333,2010,4,16,2,FALSE,13264
22-04-2010,21576,79,755,13641.85714,12540.66667,2010,4,16,3,FALSE,21576
23-04-2010,10212,57,660,12977.14286,12400.76667,2010,4,16,4,FALSE,10212
24-04-2010,0,0,0,12977.14286,11830.96667,2010,4,16,5,TRUE,0
25-04-2010,8380,46,729,12322.71429,11412.83333,2010,4,16,6,TRUE,8380
26-04-2010,19555,99,915,12350.14286,12064.66667,2010,4,17,0,FALSE,19555
27-04-2010,23403,79,832,13770,12360.86667,2010,4,17,1,FALSE,23403
28-04-2010,19380,73,901,14643.71429,12168.5,2010,4,17,2,FALSE,19380
29-04-2010,17039,84,1033,13995.57143,12094.53333,2010,4,17,3,FALSE,17039
30-04-2010,17511,50,726,15038.28571,12223.5,2010,4,17,4,FALSE,17511
01-05-2010,0,0,0,15038.28571,11647.13333,2010,5,17,5,TRUE,0
02-05-2010,6296,40,530,14740.57143,11857,2010,5,17,6,TRUE,6296
03-05-2010,0,0,0,11947,11857,2010,5,18,0,FALSE,0
04-05-2010,11192,52,806,10202.57143,12230.06667,2010,5,18,1,FALSE,11192
05-05-2010,15625,82,803,9666.142857,12750.9,2010,5,18,2,FALSE,15625
06-05-2010,31089,84,945,11673.28571,13353.13333,2010,5,18,3,FALSE,31089
07-05-2010,23171,66,797,12481.85714,13341.23333,2010,5,18,4,FALSE,23171
08-05-2010,0,0,0,12481.85714,12447.8,2010,5,18,5,TRUE,0
09-05-2010,11825,62,895,13271.71429,12537.96667,2010,5,18,6,TRUE,11825
10-05-2010,15713,77,906,15516.42857,13061.73333,2010,5,19,0,FALSE,15713
11-05-2010,18150,65,909,16510.42857,13280.56667,2010,5,19,1,FALSE,18150
12-05-2010,21669,65,739,17373.85714,13574.9,2010,5,19,2,FALSE,21669
13-05-2010,26817,66,767,16763.57143,13987.26667,2010,5,19,3,FALSE,26817
14-05-2010,14348,49,553,15503.14286,13921.23333,2010,5,19,4,FALSE,14348
15-05-2010,0,0,0,15503.14286,13562.26667,2010,5,19,5,TRUE,0
16-05-2010,11028,44,829,15389.28571,13434.36667,2010,5,19,6,TRUE,11028
17-05-2010,13811,49,771,15117.57143,13894.73333,2010,5,20,0,FALSE,13811
18-05-2010,22477,64,818,15735.71429,14211.93333,2010,5,20,1,FALSE,22477
19-05-2010,9644,61,705,14017.85714,13887.96667,2010,5,20,2,FALSE,9644
20-05-2010,15590,67,844,12414,13958.83333,2010,5,20,3,FALSE,15590
21-05-2010,10076,52,797,11803.71429,13852.56667,2010,5,20,4,FALSE,10076
22-05-2010,0,0,0,11803.71429,13133.36667,2010,5,20,5,TRUE,0
23-05-2010,13889,49,677,12212.42857,13255.93333,2010,5,20,6,TRUE,13889
24-05-2010,32771,71,748,14921,14348.3,2010,5,21,0,FALSE,32771
25-05-2010,15014,61,760,13854.85714,14569.43333,2010,5,21,1,FALSE,15014
26-05-2010,18921,96,897,15180.14286,14548.3,2010,5,21,2,FALSE,18921
27-05-2010,17905,88,930,15510.85714,14365.03333,2010,5,21,3,FALSE,17905
28-05-2010,12627,58,715,15875.28571,14139.93333,2010,5,21,4,FALSE,12627
29-05-2010,0,0,0,15875.28571,13571.96667,2010,5,21,5,TRUE,0
30-05-2010,6220,32,560,14779.71429,13195.6,2010,5,21,6,TRUE,6220
31-05-2010,0,0,0,10098.14286,13195.6,2010,5,22,0,FALSE,0
01-06-2010,8287,47,757,9137.142857,13261.96667,2010,6,22,1,FALSE,8287
02-06-2010,11808,46,667,8121,13655.56667,2010,6,22,2,FALSE,11808
03-06-2010,17585,67,913,8075.285714,13868.66667,2010,6,22,3,FALSE,17585
04-06-2010,8167,51,812,7438.142857,13620.06667,2010,6,22,4,FALSE,8167
05-06-2010,0,0,0,7438.142857,12583.76667,2010,6,22,5,TRUE,0
06-06-2010,14079,68,965,8560.857143,12280.7,2010,6,22,6,TRUE,14079
07-06-2010,29457,103,1163,12769,13262.6,2010,6,23,0,FALSE,29457
08-06-2010,25848,81,1047,15277.71429,13730.03333,2010,6,23,1,FALSE,25848
09-06-2010,25410,68,765,17220.85714,14053.26667,2010,6,23,2,FALSE,25410
10-06-2010,9683,66,589,16092,13771.03333,2010,6,23,3,FALSE,9683
11-06-2010,21405,86,925,17983.14286,13762.23333,2010,6,23,4,FALSE,21405
12-06-2010,0,0,0,17983.14286,12868.33333,2010,6,23,5,TRUE,0
13-06-2010,11120,70,834,17560.42857,12760.73333,2010,6,23,6,TRUE,11120
14-06-2010,16206,57,928,15667.42857,13300.93333,2010,6,24,0,FALSE,16206
15-06-2010,19496,52,863,14760,13583.2,2010,6,24,1,FALSE,19496
16-06-2010,18986,81,954,13842.28571,13755.7,2010,6,24,2,FALSE,18986
17-06-2010,13238,78,850,14350.14286,13447.73333,2010,6,24,3,FALSE,13238
18-06-2010,9608,50,599,12664.85714,13446.53333,2010,6,24,4,FALSE,9608
19-06-2010,0,0,0,12664.85714,12926.86667,2010,6,24,5,TRUE,0
20-06-2010,4487,26,333,11717.28571,12740.56667,2010,6,24,6,TRUE,4487
21-06-2010,12061,44,1000,11125.14286,13142.6,2010,6,25,0,FALSE,12061
22-06-2010,6978,43,667,9336.857143,12912.23333,2010,6,25,1,FALSE,6978
23-06-2010,16258,68,763,8947.142857,12361.8,2010,6,25,2,FALSE,16258
24-06-2010,11306,73,737,8671.142857,12238.2,2010,6,25,3,FALSE,11306
25-06-2010,7997,45,787,8441,11874.06667,2010,6,25,4,FALSE,7997
26-06-2010,0,0,0,8441,11277.23333,2010,6,25,5,TRUE,0
27-06-2010,10851,55,748,9350.142857,11218.03333,2010,6,25,6,TRUE,10851
28-06-2010,34536,70,920,12560.85714,12369.23333,2010,6,26,0,FALSE,34536
29-06-2010,20923,71,853,14553,12859.33333,2010,6,26,1,FALSE,20923
30-06-2010,21040,79,922,15236.14286,13560.66667,2010,6,26,2,FALSE,21040
01-07-2010,16493,85,895,15977.14286,13834.2,2010,7,26,3,FALSE,16493
02-07-2010,8709,47,635,16078.85714,13730.9,2010,7,26,4,FALSE,8709
03-07-2010,0,0,0,16078.85714,13144.73333,2010,7,26,5,TRUE,0
04-07-2010,5302,21,463,15286.14286,13049.23333,2010,7,26,6,TRUE,5302
05-07-2010,16630,85,795,12728.14286,13603.56667,2010,7,27,0,FALSE,16630
06-07-2010,11962,58,681,11448,13533,2010,7,27,1,FALSE,11962
07-07-2010,14692,77,910,10541.14286,13040.83333,2010,7,27,2,FALSE,14692
08-07-2010,11756,70,773,9864.428571,12571.1,2010,7,27,3,FALSE,11756
09-07-2010,14072,30,599,10630.57143,12193.16667,2010,7,27,4,FALSE,14072
10-07-2010,0,0,0,10630.57143,11870.4,2010,7,27,5,TRUE,0
11-07-2010,5806,28,497,10702.57143,11350.43333,2010,7,27,6,TRUE,5806
12-07-2010,9721,50,734,9715.571429,11674.46667,2010,7,28,0,FALSE,9721
13-07-2010,10045,55,744,9441.714286,11638.63333,2010,7,28,1,FALSE,10045
14-07-2010,13384,62,819,9254.857143,11544.56667,2010,7,28,2,FALSE,13384
15-07-2010,27819,80,840,11549.57143,11822,2010,7,28,3,FALSE,27819
16-07-2010,14312,68,726,11583.85714,11666.2,2010,7,28,4,FALSE,14312
17-07-2010,0,0,0,11583.85714,11224.93333,2010,7,28,5,TRUE,0
18-07-2010,9646,40,589,12132.42857,11226.2,2010,7,28,6,TRUE,9646
19-07-2010,18535,59,782,13391.57143,11844.03333,2010,7,29,0,FALSE,18535
20-07-2010,12099,57,663,13685,12097.76667,2010,7,29,1,FALSE,12099
21-07-2010,13174,55,734,13655,12134.86667,2010,7,29,2,FALSE,13174
22-07-2010,13939,78,806,11672.14286,12366.9,2010,7,29,3,FALSE,13939
23-07-2010,13371,48,665,11537.71429,12270.66667,2010,7,29,4,FALSE,13371
24-07-2010,0,0,0,11537.71429,11893.8,2010,7,29,5,TRUE,0
25-07-2010,11531,54,741,11807,12011.6,2010,7,29,6,TRUE,11531
26-07-2010,15011,62,822,11303.57143,12511.96667,2010,7,30,0,FALSE,15011
27-07-2010,14315,70,663,11620.14286,12627.43333,2010,7,30,1,FALSE,14315
28-07-2010,13365,65,724,11647.42857,11921.73333,2010,7,30,2,FALSE,13365
29-07-2010,13763,72,895,11622.28571,11683.06667,2010,7,30,3,FALSE,13763
30-07-2010,8443,53,508,10918.28571,11263.16667,2010,7,30,4,FALSE,8443
31-07-2010,0,0,0,10918.28571,10713.4,2010,7,30,5,TRUE,0
01-08-2010,9702,32,583,10657,10746.5,2010,8,30,6,TRUE,9702
02-08-2010,11871,63,691,10208.42857,11142.2,2010,8,31,0,FALSE,11871
03-08-2010,16330,59,857,10496.28571,11509.8,2010,8,31,1,FALSE,16330
04-08-2010,11740,53,850,10264.14286,11346.8,2010,8,31,2,FALSE,11740
05-08-2010,16828,54,744,10702,11509,2010,8,31,3,FALSE,16828
06-08-2010,9923,45,409,10913.42857,11350.03333,2010,8,31,4,FALSE,9923
07-08-2010,0,0,0,10913.42857,10958.16667,2010,8,31,5,TRUE,0
08-08-2010,8120,44,562,10687.42857,10759.76667,2010,8,31,6,TRUE,8120
09-08-2010,57628.5,51,621,23309.28571,14100.56667,2010,8,32,0,FALSE,100224
10-08-2010,20053,46,937,23841.14286,14575.46667,2010,8,32,1,FALSE,20053
11-08-2010,8197,46,642,23335,14524.66667,2010,8,32,2,FALSE,8197
12-08-2010,18216,81,897,23533.28571,14797.03333,2010,8,32,3,FALSE,18216
13-08-2010,18159,55,765,24709.85714,14956.2,2010,8,32,4,FALSE,18159
14-08-2010,0,0,0,24709.85714,14028.9,2010,8,32,5,TRUE,0
15-08-2010,17333,58,615,26026,14129.6,2010,8,32,6,TRUE,17333
16-08-2010,11080,39,677,13291.14286,14498.93333,2010,8,33,0,FALSE,11080
17-08-2010,18400,45,613,13055,14790.73333,2010,8,33,1,FALSE,18400
18-08-2010,22851,58,957,15148.42857,14934.6,2010,8,33,2,FALSE,22851
19-08-2010,22520,77,801,15763.28571,15281.96667,2010,8,33,3,FALSE,22520
20-08-2010,19177,59,799,15908.71429,15482.06667,2010,8,33,4,FALSE,19177
21-08-2010,0,0,0,15908.71429,15017.43333,2010,8,33,5,TRUE,0
22-08-2010,13884,60,769,15416,15034.53333,2010,8,33,6,TRUE,13884
23-08-2010,13251,45,713,15726.14286,15476.23333,2010,8,34,0,FALSE,13251
24-08-2010,19081,61,697,15823.42857,15727.9,2010,8,34,1,FALSE,19081
25-08-2010,17575,76,857,15069.71429,15813.36667,2010,8,34,2,FALSE,17575
26-08-2010,17607,80,842,14367.85714,15923.1,2010,8,34,3,FALSE,17607
27-08-2010,7316,36,675,12673.42857,15721.46667,2010,8,34,4,FALSE,7316
28-08-2010,0,0,0,12673.42857,15262.7,2010,8,34,5,TRUE,0
29-08-2010,8766,39,483,11942.28571,15273.46667,2010,8,34,6,TRUE,8766
30-08-2010,0,0,0,10049.28571,15273.46667,2010,8,35,0,FALSE,0
31-08-2010,14176,63,936,9348.571429,15422.6,2010,8,35,1,FALSE,14176
01-09-2010,12910,43,646,8682.142857,15457.23333,2010,9,35,2,FALSE,12910
02-09-2010,21964,91,848,9304.571429,15645.03333,2010,9,35,3,FALSE,21964
03-09-2010,31223,60,655,12719.85714,16294.46667,2010,9,35,4,FALSE,31223
04-09-2010,0,0,0,12719.85714,15733.53333,2010,9,35,5,TRUE,0
05-09-2010,7222,35,514,12499.28571,15643.5,2010,9,35,6,TRUE,7222
06-09-2010,16208,53,861,14814.71429,16183.76667,2010,9,36,0,FALSE,16208
07-09-2010,15746,51,718,15039,16437.96667,2010,9,36,1,FALSE,15746
08-09-2010,10208,49,691,14653,13437.43333,2010,9,36,2,FALSE,10208
09-09-2010,13200,67,865,13401,13209,2010,9,36,3,FALSE,13200
10-09-2010,10430,46,629,10430.57143,13283.43333,2010,9,36,4,FALSE,10430
11-09-2010,0,0,0,10430.57143,12676.23333,2010,9,36,5,TRUE,0
12-09-2010,9278,48,729,10724.28571,12380.2,2010,9,36,6,TRUE,9278
13-09-2010,28405,87,992,12466.71429,13327.03333,2010,9,37,0,FALSE,28405
14-09-2010,11384,63,764,11843.57143,13128.73333,2010,9,37,1,FALSE,11384
15-09-2010,21473,67,811,13452.85714,13475.16667,2010,9,37,2,FALSE,21473
16-09-2010,14418,68,897,13626.85714,13342.43333,2010,9,37,3,FALSE,14418
17-09-2010,11843,52,726,13828.71429,12975.5,2010,9,37,4,FALSE,11843
18-09-2010,0,0,0,13828.71429,12224.83333,2010,9,37,5,TRUE,0
19-09-2010,13697,59,984,14460,12042.16667,2010,9,37,6,TRUE,13697
20-09-2010,25067,82,967,13983.14286,12877.73333,2010,9,38,0,FALSE,25067
21-09-2010,37072,103,1020,17652.85714,13650.66667,2010,9,38,1,FALSE,37072
22-09-2010,14626,83,689,16674.71429,13696.5,2010,9,38,2,FALSE,14626
23-09-2010,21377,86,935,17668.85714,13773.03333,2010,9,38,3,FALSE,21377
24-09-2010,28035,67,810,19982,14121.7,2010,9,38,4,FALSE,28035
25-09-2010,0,0,0,19982,13534.8,2010,9,38,5,TRUE,0
26-09-2010,13385,65,747,19937.42857,13737.1,2010,9,38,6,TRUE,13385
27-09-2010,57628.5,95,1012,34283.42857,17920.06667,2010,9,39,0,FALSE,125489
28-09-2010,23634,127,1199,32363.71429,18415.66667,2010,9,39,1,FALSE,23634
29-09-2010,20736,99,967,33236.57143,19106.86667,2010,9,39,2,FALSE,20736
30-09-2010,24834,93,978,33730.42857,19462.13333,2010,9,39,3,FALSE,24834
01-10-2010,22213,71,919,32898.71429,19772.23333,2010,10,39,4,FALSE,22213
02-10-2010,0,0,0,32898.71429,19040.1,2010,10,39,5,TRUE,0
03-10-2010,20343,77,966,33892.71429,18677.43333,2010,10,39,6,TRUE,20343
04-10-2010,23529,84,1002,19327,19461.73333,2010,10,40,0,FALSE,23529
05-10-2010,34855,130,1166,20930,20382.83333,2010,10,40,1,FALSE,34855
06-10-2010,21884,63,738,21094,20572.03333,2010,10,40,2,FALSE,21884
07-10-2010,30072,121,1360,21842.28571,21049.56667,2010,10,40,3,FALSE,30072
08-10-2010,41441,78,995,24589.14286,22090.66667,2010,10,40,4,FALSE,41441
09-10-2010,0,0,0,24589.14286,21650.66667,2010,10,40,5,TRUE,0
10-10-2010,12414,68,897,23456.42857,21716.8,2010,10,40,6,TRUE,12414
11-10-2010,24913,91,1130,23654.14286,22547.23333,2010,10,41,0,FALSE,24913
12-10-2010,29531,110,1134,22893.57143,23222.33333,2010,10,41,1,FALSE,29531
13-10-2010,40097,86,1035,25495.42857,23612.06667,2010,10,41,2,FALSE,40097
14-10-2010,37123,99,1014,26502.71429,24470.03333,2010,10,41,3,FALSE,37123
15-10-2010,22350,117,1081,23775.42857,24499.26667,2010,10,41,4,FALSE,22350
16-10-2010,0,0,0,23775.42857,24018.66667,2010,10,41,5,TRUE,0
17-10-2010,18978,71,1118,24713.14286,24256.5,2010,10,41,6,TRUE,18978
18-10-2010,19725,104,1194,23972,24914,2010,10,42,0,FALSE,19725
19-10-2010,27244,78,1089,23645.28571,25365.56667,2010,10,42,1,FALSE,27244
20-10-2010,24039,108,1078,21351.28571,25331.3,2010,10,42,2,FALSE,24039
21-10-2010,17798,96,1063,18590.57143,24688.83333,2010,10,42,3,FALSE,17798
22-10-2010,23118,88,1083,18700.28571,24971.9,2010,10,42,4,FALSE,23118
23-10-2010,0,0,0,18700.28571,24259.33333,2010,10,42,5,TRUE,0
24-10-2010,15445,83,1044,18195.57143,23839.66667,2010,10,42,6,TRUE,15445
25-10-2010,14485,73,996,17447,24322.5,2010,10,43,0,FALSE,14485
26-10-2010,25974,104,1149,17265.57143,24742.13333,2010,10,43,1,FALSE,25974
